"id","booking_id","receipt_number","payment_date","rent_paid","electric_paid","material_paid","shed_paid","temp_receipt_number","payment_mode","cash_paid","upi_paid","event_session_id","remarks"
"307","8","NA","2025-11-08","0","1500","0","0",,"Cash","1500","0","1",""
"308","18","NA","2025-11-08","0","0","0","1500",,"UPI","0","1500","1",""
"309","34","NA","2025-11-08","0","0","1200","0",,"UPI","0","1200","1",""
"310","21","NA","2025-11-08","0","0","700","0",,"UPI","0","700","1",""
"311","38","NA","2025-11-08","0","3000","0","0",,"Cash","3000","0","1",""
"312","27","NA","2025-11-08","0","0","1200","0",,"Cash","1200","0","1",""
"313","26","NA","2025-11-08","0","0","0","1000",,"Cash","1000","0","1",""
"314","38","NA","2025-11-01","0","1000","0","0",,"Cash","1000","0","1",""
"315","9","NA","2025-11-09","0","1300","0","0",,"UPI","0","1300","1",""
"316","9","NA","2025-11-09","0","0","600","0",,"UPI","0","600","1",""
"317","11","1582","2025-11-09","5000","0","0","0",,"Cash & UPI","2000","3000","1",""
"318","29","1583","2025-11-09","13000","0","0","0",,"UPI","0","13000","1",""
"319","33","1584","2025-11-09","10000","0","0","0",,"Cash & UPI","5000","5000","1",""
"320","2","1585","2025-11-09","3000","0","0","0",,"Cash","3000","0","1",""
"321","18","1586","2025-11-09","12000","0","0","0",,"UPI","0","12000","1",""
"322","19","1587","2025-11-09","5000","0","0","0",,"UPI","0","5000","1",""
"323","13","1588","2025-11-09","25000","0","0","0",,"Cash & UPI","20000","5000","1",""
"324","12","1589","2025-11-09","10000","0","0","0",,"Cash & UPI","2000","8000","1",""
"325","25","1590","2025-11-09","14000","0","0","0",,"Cash & UPI","6500","7500","1",""
"326","6","1591","2025-11-09","7000","0","0","0",,"Cash & UPI","2000","5000","1","PP to GTM
"
"327","5","1592","2025-11-09","8000","0","0","0",,"Cash","8000","0","1",""
"328","8","1593","2025-11-09","15000","0","0","0",,"Cash & UPI","5000","10000","1",""
"329","1","1594","2025-11-09","10000","0","0","0",,"UPI","0","10000","1",""
"330","4","1595","2025-11-09","10000","0","0","0",,"Cash","10000","0","1",""
"331","7","1596","2025-11-09","7000","0","0","0",,"Cash","7000","0","1",""
"332","3","1597","2025-11-09","8000","0","0","0",,"Cash & UPI","4000","4000","1",""
"333","10","1598","2025-11-09","10000","0","0","0",,"UPI","0","10000","1",""
"334","31","1599","2025-11-09","4000","0","0","0",,"Cash & UPI","2000","2000","1",""
"335","15","1600","2025-11-09","10000","0","0","0",,"Cash","10000","0","1",""
"336","28","1601","2025-11-09","7000","0","0","0",,"Cash","7000","0","1",""
"337","21","1602","2025-11-09","6000","0","0","0",,"Cash & UPI","2000","4000","1",""
"338","38","1603","2025-11-09","9000","0","0","0",,"Cash","9000","0","1",""
"339","37","1604","2025-11-09","20000","0","0","0",,"Cash","20000","0","1",""
"340","20","1605","2025-11-09","7000","0","0","0",,"UPI","0","7000","1",""
"341","14","1606","2025-11-09","20000","0","0","0",,"Cash","20000","0","1",""
"342","34","1607","2025-11-09","7000","0","0","0",,"Cash & UPI","5000","2000","1",""
"343","26","1608","2025-11-09","6000","0","0","0",,"Cash & UPI","1500","4500","1",""
"344","35","1609","2025-11-09","3000","0","0","0",,"Cash","3000","0","1",""
"345","39","1610","2025-11-09","5000","0","0","0",,"UPI","0","5000","1",""
"346","35","NA","2025-11-09","0","1500","0","0",,"Cash","1500","0","1",""
"347","35","NA","2025-11-09","0","0","600","0",,"Cash","600","0","1",""
"348","9","NA","2025-11-11","0","0","600","0",,"Cash","600","0","1",""
